State,Year,Baby Food,Bread & Cereal Products,Confectionery & Snacks,Convenience Food,Dairy Products & Eggs,Fish & Seafood,Fruits & Nuts,Meat,Oils & Fats,Pet Food,Sauces & Spices,Spreads & Sweeteners,Vegetables,Total,ARPC = Average revenue per capita,ARPC Baby food,ARPC Bread & Cereal Products,ARPC Confectionery & Snacks,ARPC Convenience Food,ARPC Dairy Products & Eggs,ARPC Fish & Seafood,ARPC Fruits & Nuts,ARPC Meat,ARPC Oils & Fats,ARPC Pet Food,ARPC Sauces & Spices,ARPC Spreads & Sweeteners,ARPC Vegetables,ARPC total,PPU = Price per unit,PPU Baby food,PPU Bread & Cereal Products,PPU Confectionery & Snacks,PPU Convenience Food,PPU Dairy Products & Eggs,PPU Fish & Seafood,PPU Fruits & Nuts,PPU Meat,PPU Oils & Fats,PPU Pet Food,PPU Sauces & Spices,PPU Spreads & Sweeteners,PPU Vegetables,PPU Average,Health outcomes,Obesity,Diabetes,Inactivity,Heart Disease,Life Expectancy,Degree,Income,Tobacco
South Dakota,2022,1.32,39.77,69.32,15.31,117.4,2.26,33.37,38.33,8.27,36.02,10.61,6.58,69.33,447.9,,13.69,148.1,654.5,124.4,235.1,57.87,187.5,350.1,34.91,113.8,61.19,21.86,206,2209,,10.38,3.72,9.44,8.12,2,25.6,5.62,9.14,4.27,3.16,5.77,3.32,2.97,4.93,,33.1,9.3,28.9,158.2,78.19,48.18,68173,14
South Dakota,2023,1.28,40.28,69.18,15.29,117.3,2.36,32.31,38.54,8.7,37.09,10.46,7.2,68.11,448.1,,13.76,153.2,666.9,127.5,241.1,60.77,189.3,357.6,36.67,121,62.35,23.45,207.4,2261,,10.72,3.8,9.64,8.34,2.06,25.8,5.86,9.28,4.25,3.26,5.96,3.26,3.05,5.05,,33.4,6.9,21.6,,78.19,49.2,70353,
Tennessee,2021,1.55,42.17,72.34,16.8,109.7,2.91,44.82,44.64,11.78,37.45,12.29,11.11,64.96,472.5,,16.09,152.5,660.9,119.3,209.4,69.81,170,390.1,37.04,118.4,70.92,29.81,190.7,2235,,10.39,3.62,9.14,7.1,1.91,23.97,3.79,8.74,4.35,3.16,5.77,2.68,2.94,4.73,,33.3,12.5,27.2,223.8,75.98,39.49,57008,19.7
Tennessee,2022,1.57,41.26,71.9,16.54,108.6,2.64,41.88,44.78,10.13,42.85,12.62,10.32,64.66,469.7,,15.89,165.7,732.2,125.4,228.5,68.7,180.7,415.7,37.61,132.1,71.03,30.54,204.5,2409,,10.13,4.02,10.18,7.58,2.11,26.01,4.31,9.28,4.55,3.08,5.63,2.96,3.16,5.13,,36.6,12.0,29,218.3,75.33,40.72,58311,18.5
Tennessee,2023,1.56,42.39,72.81,16.77,110.4,2.8,41.9,45.89,10.87,45.2,12.74,11.36,64.64,479.3,,16.33,174.2,758.2,130.7,240.3,75.51,185.8,444.4,40.5,143.6,73.97,32.86,211.4,2528,,10.44,4.11,10.41,7.79,2.18,26.93,4.43,9.68,4.56,3.18,5.81,2.89,3.27,5.27,,35.8,12.5,23.6,,75.33,41.22,61049,
Texas,2021,1.82,42.3,72.57,14.25,81.12,2.62,46.32,40.13,10.95,44.13,14.48,8.25,57.39,436.3,,17.26,130.5,565.5,102.1,163.3,59.64,155.5,333.3,32.56,127.1,76.1,23.2,144.4,1930,,9.46,3.08,7.79,7.17,2.01,22.79,3.36,8.31,3.97,2.88,5.26,2.81,2.52,4.42,,31.4,10.2,23.2,180.7,79.17,40.71,60543,13.1
Texas,2022,1.72,39.29,68.48,14,80.06,2.27,45.27,38.52,9.48,46.89,13.81,7.63,53.99,421.4,,17.77,137.7,608.4,106.8,177.9,56.55,164.8,342.1,32.79,147.7,79.41,23.85,147.4,2043,,10.35,3.5,8.88,7.63,2.22,24.9,3.64,8.88,4.3,3.15,5.75,3.13,2.73,4.85,,34.1,11.8,26.9,172.3,78.39,42.46,62585,11.8
Texas,2023,1.69,38.98,66.94,13.79,79.11,2.37,44.88,38.81,9.9,48.94,13.8,8.25,53.29,420.8,,17.75,141.1,614.4,108,182.1,59.63,165.8,350.9,34.45,156.1,80.4,25.21,147.9,2084,,10.48,3.62,9.18,7.84,2.3,25.14,3.69,9.04,4.35,3.19,5.83,3.06,2.77,4.95,,35.8,12.0,25.4,,78.39,43.76,65422,
Utah,2021,1.34,42.08,72.19,14.3,123.8,2.52,37.91,38.64,7.77,32.39,10.63,6.93,58.19,448.7,,13.05,135.1,585.4,104.3,215.1,49.43,172,276.2,31.06,96.1,57.54,21.96,167.2,1924,,9.75,3.21,8.11,7.29,1.74,19.61,4.54,7.15,4.57,2.97,5.41,3.17,2.87,4.29,,27.0,7.5,16.7,162.4,80.07,46.38,57039,7.2
Utah,2022,1.28,41.38,72.12,13.9,117.6,2.3,35.77,38.91,7.24,34.97,10.3,6.56,54.02,436.4,,13.84,143.2,632.7,107.5,232.1,49.47,178.2,299.3,30.24,115.1,61.87,22.19,175.2,2061,,10.81,3.46,8.77,7.73,1.97,21.56,4.98,7.69,4.8,3.29,6.01,3.38,3.24,4.72,,29.9,8.3,18.7,159.4,79.72,48.14,59449,6.7
